Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
24-Sep-24,Tuesday,September,Q3,2024,EQ,532.20,541.90,529.35,534.90,539.00,539.55,536.29,579.90,375.05,6177847.00,92764.00
23-Sep-24,Monday,September,Q3,2024,EQ,539.10,540.40,532.00,539.10,533.00,534.90,534.82,579.90,375.05,4272145.00,73277.00
20-Sep-24,Friday,September,Q3,2024,EQ,537.90,540.75,531.00,533.35,538.20,539.10,536.02,579.90,375.05,8332116.00,83666.00
19-Sep-24,Thursday,September,Q3,2024,EQ,544.20,551.45,529.15,538.15,535.00,533.35,536.90,579.90,375.05,10484591.00,135094.00
18-Sep-24,Wednesday,September,Q3,2024,EQ,549.05,549.05,532.65,551.90,537.70,538.15,537.77,579.90,375.05,8332760.00,138689.00
17-Sep-24,Tuesday,September,Q3,2024,EQ,549.00,554.90,547.05,551.90,550.60,551.90,551.65,579.90,375.05,4364119.00,83124.00
16-Sep-24,Monday,September,Q3,2024,EQ,553.00,556.85,549.00,550.60,551.05,551.90,553.19,579.90,375.05,5544289.00,110124.00
13-Sep-24,Friday,September,Q3,2024,EQ,533.80,552.50,530.85,530.05,550.10,550.60,546.68,579.90,375.05,17959853.00,212317.00
12-Sep-24,Thursday,September,Q3,2024,EQ,520.45,532.00,517.75,514.35,528.50,530.05,525.53,579.90,375.05,7889737.00,167465.00
11-Sep-24,Wednesday,September,Q3,2024,EQ,525.00,526.25,513.25,525.75,516.00,514.35,518.96,579.90,375.05,4130762.00,74007.00
10-Sep-24,Tuesday,September,Q3,2024,EQ,516.80,528.00,514.00,514.85,525.25,525.75,521.93,579.90,375.05,5143636.00,81752.00
09-Sep-24,Monday,September,Q3,2024,EQ,517.10,521.75,513.45,520.60,516.50,514.85,517.43,579.90,375.05,5959770.00,61816.00
06-Sep-24,Friday,September,Q3,2024,EQ,524.85,529.90,518.45,524.85,521.50,520.60,522.96,579.90,375.05,7289977.00,87136.00
